"","d1","d2","d3","d4","d5","d6","d7","d8","d9","d10","d11","d12","d13","d14","d15","d16","class"
"66",2,3,2,4,1,0,1,5,6,0,0,6,0,8,0,8,"L"
"67",3,5,5,4,3,7,8,3,6,10,6,8,3,8,3,8,"H"
"68",2,3,3,2,2,7,7,5,7,7,6,8,2,8,5,10,"E"
"69",5,10,6,7,6,9,6,6,4,7,8,7,6,9,8,3,"Y"
"70",8,12,8,6,4,9,8,4,5,8,4,5,6,9,5,9,"H"
"71",5,10,5,5,4,9,6,5,6,10,6,7,4,8,9,9,"Q"
"72",3,8,5,7,3,8,7,9,6,6,6,9,3,8,5,9,"Q"
"73",4,6,6,4,5,8,5,6,4,6,7,10,4,7,5,9,"Q"
"74",2,8,3,6,1,13,3,8,4,13,3,11,1,6,0,8,"J"
"75",4,7,5,5,2,8,9,1,7,14,5,6,0,8,1,8,"J"
"76",4,5,5,4,3,7,7,7,7,7,6,5,2,8,3,7,"D"
"77",2,6,4,4,3,6,7,5,5,6,5,7,3,7,5,8,"R"
"78",4,5,7,4,4,6,6,3,4,9,9,10,7,5,2,8,"M"
"79",3,7,5,5,3,12,2,3,2,10,2,9,2,6,3,8,"A"
"80",3,5,4,4,2,7,8,5,4,7,7,7,6,9,2,5,"N"
"81",6,10,9,7,8,3,7,4,5,10,11,10,7,9,3,7,"M"
"82",8,14,7,8,4,5,10,6,3,12,5,4,4,10,4,8,"P"
"83",6,12,5,7,4,8,5,4,3,9,9,11,4,9,8,10,"C"
"84",6,10,8,8,7,8,5,7,5,7,6,6,3,9,8,9,"P"
"85",2,3,3,1,1,5,9,3,3,10,8,8,4,8,0,8,"N"
"86",3,4,4,3,2,9,10,3,2,5,9,7,6,11,0,8,"W"
"87",3,8,5,6,6,8,7,4,1,8,7,8,5,10,4,7,"V"
"88",6,9,9,8,10,8,7,5,5,7,6,8,8,9,9,3,"V"
"89",6,7,9,5,7,4,7,3,5,10,10,11,8,6,3,7,"M"
"90",4,8,5,6,4,7,7,4,8,11,8,9,2,9,5,7,"E"
"91",6,11,8,8,9,5,8,3,4,8,8,9,7,9,5,4,"N"
"92",8,10,8,7,4,3,10,3,7,11,12,6,1,11,3,5,"Y"
"93",4,8,5,6,3,6,8,4,1,7,8,8,8,9,0,8,"W"
"94",6,7,8,6,6,6,6,5,6,8,5,8,3,6,5,6,"O"
"95",4,4,4,6,2,7,7,14,2,5,6,8,6,8,0,8,"N"
"96",4,8,5,6,5,7,10,8,5,8,5,6,3,6,7,11,"H"
"97",4,7,5,5,3,8,7,8,5,10,6,8,3,8,3,8,"O"
"98",4,8,5,6,4,7,7,9,4,6,4,6,3,7,3,8,"N"
"99",4,9,5,6,2,7,6,15,1,7,7,8,3,8,0,8,"H"
"100",7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6,"U"
"101",2,7,3,5,1,6,10,0,3,7,11,8,1,11,0,8,"Y"
"102",6,8,7,6,4,6,9,4,8,11,7,6,2,8,5,5,"S"
"103",5,9,6,7,5,7,7,7,5,7,6,7,2,8,9,8,"S"
"104",2,3,2,2,1,7,11,2,6,7,10,8,1,11,1,7,"T"
"105",2,3,3,2,1,4,7,4,6,10,9,13,1,9,2,7,"C"
"106",4,10,7,7,2,9,8,5,3,5,14,8,3,9,0,8,"V"
"107",5,8,5,6,3,6,12,4,7,12,9,4,2,12,2,4,"T"
"108",7,12,6,6,3,7,8,2,7,9,7,8,5,8,3,7,"K"
"109",3,8,4,6,4,7,8,7,6,7,7,5,3,8,3,7,"D"
"110",2,1,3,1,1,7,8,4,0,7,8,8,6,10,0,8,"W"
"111",2,9,3,7,2,8,7,0,7,13,6,9,0,8,1,8,"I"
"112",3,8,3,6,2,3,7,6,10,7,6,14,0,8,7,8,"E"
"113",6,9,8,7,4,6,12,6,6,13,7,3,2,9,2,5,"F"
"114",3,9,4,7,3,7,7,0,7,13,6,8,0,8,1,8,"I"
"115",5,10,7,8,8,7,7,6,6,7,6,9,3,8,4,8,"H"
"116",4,7,4,5,2,7,5,13,5,7,14,7,3,9,0,8,"U"
"117",2,3,3,2,1,6,8,7,7,9,7,12,1,10,3,9,"C"
"118",5,9,6,7,7,7,6,6,4,7,7,8,5,10,9,12,"F"
"119",3,8,5,6,3,9,2,2,3,8,2,8,2,6,3,7,"A"
"120",3,7,5,5,3,7,8,2,9,11,7,7,1,8,6,7,"Z"
"121",3,7,5,5,2,10,5,2,8,10,1,7,3,7,3,10,"X"
"122",3,3,5,2,2,5,10,3,4,10,8,7,5,8,1,8,"N"
"123",6,9,5,4,3,10,6,5,5,10,2,8,6,6,4,9,"R"
"124",3,3,3,4,3,7,7,5,5,7,6,6,5,8,5,10,"B"
"125",5,9,7,7,7,8,8,3,6,10,5,6,3,7,6,8,"B"
"126",5,6,5,4,2,5,8,6,8,9,8,8,3,9,2,5,"U"
"127",4,4,6,5,4,8,9,4,5,7,6,9,3,7,8,8,"J"
"128",3,7,4,5,2,1,11,4,4,11,11,8,0,8,2,7,"F"
"129",6,8,9,6,6,11,6,2,5,9,3,6,9,7,2,9,"M"
"130",1,1,2,1,1,7,7,12,1,7,6,8,3,8,0,8,"H"
"131",2,1,4,2,1,8,1,2,2,7,2,8,2,5,2,7,"A"
"132",5,10,4,5,3,6,6,6,2,9,6,9,5,9,4,8,"O"
"133",1,0,1,1,1,4,7,5,8,7,6,13,0,8,6,10,"E"
"134",3,3,3,1,1,5,8,5,7,10,9,8,3,10,2,6,"U"
"135",3,7,5,5,3,10,4,1,2,8,3,9,2,4,2,7,"A"
"136",4,8,5,6,3,5,8,1,8,10,9,9,2,9,3,6,"X"
"137",5,8,7,6,4,8,8,4,9,11,3,8,2,6,4,9,"S"
"138",1,3,2,2,1,10,7,1,5,11,4,8,0,7,0,7,"J"
"139",5,11,8,8,5,6,7,2,7,10,7,10,4,8,4,8,"K"
"140",2,6,2,4,1,9,5,0,6,13,5,9,0,8,1,8,"I"
"141",7,11,10,8,6,6,11,3,6,13,6,3,0,10,3,8,"P"
"142",2,1,2,1,0,8,15,1,4,6,10,8,0,8,0,8,"T"
"143",1,1,2,2,1,6,8,6,6,9,7,12,1,9,3,10,"C"
"144",4,9,4,7,4,7,8,13,1,7,5,8,3,8,0,8,"H"
"145",2,4,4,3,2,10,2,2,2,9,2,9,2,7,3,9,"A"
"146",6,11,9,8,11,7,7,3,6,6,7,11,6,11,9,7,"L"
"147",3,6,4,4,3,7,12,4,6,7,11,8,2,12,1,7,"T"
"148",2,8,4,6,2,12,2,4,3,11,2,10,3,6,3,9,"A"
"149",3,9,5,7,3,8,9,4,1,6,12,8,2,10,0,8,"V"
"150",5,7,6,5,5,8,8,8,5,6,7,9,4,8,4,5,"U"
"151",2,9,2,6,3,7,7,0,7,7,6,8,0,8,2,8,"I"
"152",8,14,8,8,5,8,5,2,9,12,6,9,3,7,6,7,"Z"
"153",4,7,6,5,6,8,8,4,2,8,7,8,7,11,5,8,"V"
"154",5,9,7,6,7,9,7,5,5,6,7,6,10,7,4,6,"M"
"155",4,8,6,6,4,6,5,2,8,7,2,8,1,6,3,7,"L"
"156",3,3,5,5,2,9,6,9,7,7,5,10,3,8,4,8,"O"
"157",4,2,5,4,4,7,7,5,6,7,6,6,2,8,7,10,"B"
"158",8,15,7,8,4,8,2,3,2,8,5,12,5,4,5,5,"A"
"159",6,9,9,6,7,9,6,1,7,10,3,8,3,7,3,9,"K"
"160",3,7,4,5,4,7,7,5,6,7,6,8,3,8,3,8,"H"
"161",7,9,7,7,5,6,10,1,8,11,9,5,2,9,3,4,"T"
"162",6,5,7,4,4,4,11,2,2,9,9,8,7,11,1,7,"W"
"163",3,8,3,5,1,1,12,4,5,12,11,8,0,8,2,6,"F"
"164",3,3,5,4,1,7,6,3,0,7,0,8,2,7,1,8,"A"
"165",3,8,3,6,3,3,6,5,9,5,4,13,0,8,6,9,"E"
"166",4,9,5,7,4,7,7,12,1,7,9,8,8,6,0,8,"M"
"167",4,9,5,7,6,7,8,9,6,7,6,6,2,8,8,10,"B"
"168",3,7,5,5,6,7,8,6,4,6,6,8,5,8,7,9,"M"
"169",6,9,6,7,4,5,8,0,8,8,9,5,2,11,4,4,"Y"
"170",4,9,6,7,3,6,12,3,4,7,12,9,3,10,1,8,"V"
"171",2,8,3,6,3,8,8,7,6,7,4,6,2,7,8,8,"S"
"172",2,1,2,2,1,6,8,7,7,8,7,12,1,9,4,10,"C"
"173",4,9,6,6,8,7,7,6,3,7,6,7,8,7,9,9,"H"
"174",5,8,5,6,4,8,6,11,4,8,13,7,3,9,0,8,"U"
"175",6,10,6,6,4,7,10,5,2,11,5,4,4,11,5,7,"P"
"176",3,8,4,6,2,7,7,4,13,10,6,8,0,8,8,8,"Z"
"177",3,4,5,2,2,7,7,2,8,11,7,9,2,8,4,8,"E"
"178",5,9,7,6,4,4,10,3,4,9,10,9,5,8,1,8,"N"
"179",6,10,5,6,3,5,9,6,3,10,5,6,5,9,4,7,"P"
"180",4,5,5,4,4,7,7,6,6,7,6,7,3,8,3,6,"H"
"181",6,11,6,8,5,6,11,3,7,11,9,5,2,12,2,4,"T"
"182",5,5,5,8,4,7,9,10,8,7,5,7,2,8,9,10,"B"
"183",5,10,6,7,2,7,4,14,6,7,15,8,3,9,0,8,"U"
"184",3,4,4,6,2,8,8,6,9,5,5,5,0,8,9,7,"S"
"185",5,6,5,8,2,1,14,5,3,12,9,5,0,8,3,6,"F"
"186",3,9,4,7,4,9,6,1,6,11,4,7,0,6,1,6,"J"
"187",3,6,4,4,4,6,7,5,5,7,6,7,3,7,4,9,"R"
"188",3,2,3,4,3,7,8,5,7,7,5,9,2,8,5,10,"E"
"189",6,9,6,4,4,8,9,5,3,10,5,5,5,10,5,6,"P"
"190",2,2,1,4,1,7,7,1,7,7,6,8,0,8,3,8,"I"
"191",7,10,9,8,9,7,7,5,5,7,6,7,7,6,9,13,"K"
"192",4,10,6,7,4,8,6,8,7,4,5,3,3,8,4,8,"D"
"193",4,7,6,5,7,9,6,4,4,6,6,7,7,8,6,7,"B"
"194",5,10,7,8,6,7,9,8,5,8,5,6,3,7,7,10,"H"
"195",7,10,10,7,7,9,6,2,5,9,5,7,8,6,2,8,"M"
"196",6,11,7,8,3,4,13,9,2,10,6,4,1,10,4,8,"P"
"197",4,8,6,6,4,8,5,8,4,7,5,8,3,8,3,8,"O"
"198",2,8,3,6,3,8,7,7,5,7,6,7,2,9,8,8,"S"
"199",4,7,6,5,4,3,8,3,7,11,11,12,3,8,3,5,"K"
"200",7,10,7,8,3,3,11,4,4,10,12,8,3,10,1,8,"V"
"201",7,11,10,8,5,6,11,2,7,14,7,4,1,10,2,7,"F"
"202",3,4,5,6,1,6,10,3,2,9,13,8,1,11,0,8,"Y"
"203",4,6,6,4,3,11,6,3,8,11,3,6,3,8,3,9,"D"
"204",1,0,1,1,0,7,7,2,10,8,6,8,0,8,6,8,"Z"
"205",3,5,3,6,3,7,8,6,3,8,8,9,3,8,5,7,"Q"
"206",8,14,8,8,4,9,4,4,4,13,5,8,3,10,3,8,"S"
"207",5,7,7,5,6,8,6,5,6,9,6,7,3,9,6,10,"B"
"208",8,13,9,7,5,6,7,3,6,10,8,10,6,10,4,7,"K"
"209",3,10,5,7,2,5,8,5,3,9,14,8,3,10,0,8,"V"
"210",4,7,4,5,3,6,7,9,7,7,6,7,2,8,9,10,"B"
"211",2,2,4,4,2,6,10,1,7,7,11,9,1,11,1,8,"Y"
"212",3,4,4,3,2,7,7,7,5,7,6,8,2,8,3,8,"O"
"213",6,10,8,7,5,8,6,3,10,12,4,9,1,7,6,9,"Z"
"214",2,3,3,2,1,6,4,1,8,7,2,10,0,7,2,8,"L"
"215",1,3,2,2,1,10,6,2,6,12,4,9,0,7,1,7,"J"
"216",1,3,3,2,1,7,8,1,9,11,7,7,1,8,5,7,"Z"
"217",3,5,5,7,2,7,7,3,1,6,0,8,3,7,1,8,"A"
"218",3,5,4,5,3,8,7,4,5,7,6,8,3,8,7,10,"L"
"219",2,5,3,3,1,10,7,1,7,12,3,7,0,7,1,7,"J"
"220",5,6,6,8,5,8,7,6,3,7,7,12,3,8,6,8,"Q"
"221",1,3,2,1,1,7,8,5,3,7,7,7,4,8,1,6,"N"
"222",2,6,3,4,1,7,7,3,13,9,6,8,0,8,8,8,"Z"
"223",4,9,5,7,3,3,7,6,11,7,6,15,0,8,7,7,"E"
"224",4,7,3,10,3,9,7,3,3,11,4,5,3,8,6,9,"J"
"225",4,8,5,6,3,5,7,10,10,6,5,6,3,8,4,8,"D"
"226",5,10,6,8,5,7,8,9,6,8,8,6,4,8,5,10,"O"
"227",3,6,4,4,2,5,4,3,8,3,2,6,1,6,2,5,"L"
"228",4,5,5,4,2,4,12,4,4,11,11,6,2,10,1,8,"V"
"229",6,10,9,8,6,7,7,0,8,9,6,8,3,8,4,7,"X"
"230",5,8,6,6,3,6,6,4,5,14,8,12,1,6,1,7,"J"
"231",7,10,10,8,5,7,8,3,5,10,6,7,7,8,1,8,"N"
"232",3,5,5,7,4,10,11,3,2,7,8,8,3,10,7,9,"H"
"233",2,7,4,5,3,13,3,3,2,10,1,8,2,6,2,8,"A"
"234",4,6,5,9,9,8,7,5,0,7,6,7,6,10,6,9,"P"
"235",4,9,6,6,2,10,5,3,1,8,1,9,2,7,2,8,"A"
"236",4,8,5,6,3,5,10,4,6,11,10,5,2,10,3,5,"F"
"237",3,4,6,3,2,7,7,1,9,10,6,8,2,8,3,7,"X"
"238",5,11,6,9,4,5,8,11,9,8,7,5,3,8,4,8,"D"
"239",3,7,5,5,3,9,11,2,2,4,10,8,2,12,1,8,"V"
"240",7,10,6,5,4,10,7,4,4,12,4,5,4,11,5,9,"P"
"241",5,9,6,7,6,6,9,4,6,9,9,6,5,9,3,6,"F"
"242",6,11,9,8,5,8,10,7,5,10,4,3,3,10,4,8,"P"
"243",4,10,6,8,2,9,11,0,4,6,11,8,0,10,0,8,"Y"
"244",3,3,4,4,2,5,8,4,1,7,9,8,7,10,0,8,"W"
"245",6,9,8,7,5,6,11,7,3,11,5,3,2,10,4,8,"P"
"246",5,6,7,7,6,7,8,4,5,7,7,8,4,6,8,6,"J"
"247",4,2,4,4,3,8,7,6,10,6,5,9,2,8,6,8,"E"
"248",4,8,5,6,3,7,5,6,9,5,6,10,0,9,9,8,"S"
"249",3,7,3,5,2,3,8,6,11,7,5,14,0,8,7,8,"E"
"250",5,9,7,7,6,7,9,5,6,10,6,6,3,8,7,8,"B"
"251",1,9,1,7,1,7,7,0,9,7,6,8,0,8,3,8,"I"
"252",6,8,7,6,4,9,6,4,6,10,3,8,2,8,5,10,"S"
"253",3,8,4,6,3,8,6,8,6,7,8,9,2,10,9,8,"S"
"254",3,7,4,5,2,5,8,6,7,6,8,13,1,8,4,10,"C"
"255",8,10,11,8,9,9,6,2,5,9,4,7,11,9,3,8,"M"
"256",9,10,7,5,3,6,11,6,2,11,5,5,4,10,4,8,"P"
"257",2,4,4,3,3,7,8,4,4,9,5,8,2,6,3,10,"R"
"258",3,8,5,6,6,8,7,4,4,6,7,8,7,9,5,6,"U"
"259",6,6,6,4,3,4,8,5,8,11,11,9,3,9,2,6,"U"
"260",3,8,4,6,2,5,7,10,8,7,7,5,3,8,4,8,"D"
"261",2,1,3,1,1,7,5,11,5,7,14,8,3,10,0,8,"U"
"262",2,5,3,4,2,10,7,2,6,11,3,7,1,6,2,7,"J"
"263",7,13,7,7,5,6,7,2,9,11,6,8,4,5,8,6,"Z"
"264",5,11,7,8,6,7,9,3,6,12,7,6,3,9,2,7,"F"
"265",1,0,2,1,0,8,9,4,2,7,12,8,2,10,0,8,"V"
"266",6,5,8,4,7,6,9,5,3,6,4,8,13,8,5,7,"M"
"267",3,6,4,4,1,7,5,13,5,7,13,8,3,9,0,8,"U"
"268",3,7,4,5,5,7,7,4,6,6,6,6,2,8,5,10,"B"
"269",4,8,6,6,4,6,5,1,9,7,2,10,0,6,3,8,"L"
"270",4,10,5,8,3,8,13,0,5,7,10,8,0,8,0,8,"T"
"271",8,12,8,6,4,9,4,4,6,12,3,8,5,6,5,10,"D"
"272",6,11,6,8,4,6,10,1,10,11,9,5,2,8,4,4,"T"
"273",5,8,7,6,4,7,5,8,4,6,4,7,3,9,4,9,"O"
"274",1,0,2,1,0,7,14,1,4,7,10,8,0,8,0,8,"T"
"275",4,3,5,2,2,5,8,5,7,10,10,9,3,9,2,6,"U"
"276",2,4,4,2,2,9,6,4,6,11,4,6,2,8,3,8,"D"
"277",4,8,5,5,3,5,11,8,3,7,4,8,3,7,6,11,"R"
"278",7,10,7,7,5,5,7,7,6,9,8,10,2,9,5,9,"G"
"279",2,1,2,2,1,6,7,8,7,6,6,6,2,8,3,8,"D"
"280",3,8,4,6,4,7,7,7,5,7,6,8,2,8,8,8,"S"
"281",7,10,9,8,10,9,5,5,4,9,6,9,6,9,12,11,"S"
"282",6,10,9,8,8,7,7,2,4,9,7,8,8,6,2,8,"M"
"283",4,8,6,6,8,9,6,2,2,8,4,8,7,7,2,5,"M"
"284",6,7,8,6,6,5,7,6,7,7,4,7,3,6,5,6,"D"
"285",4,9,6,7,4,8,6,2,9,12,5,9,3,6,8,8,"Z"
"286",4,9,7,7,5,9,8,4,1,6,9,8,7,11,0,8,"W"
"287",2,1,3,2,1,6,8,6,7,7,8,12,1,9,4,10,"C"
"288",3,6,4,4,4,6,7,3,7,6,6,9,3,8,6,10,"K"
"289",6,9,9,7,5,8,5,7,7,8,6,7,2,6,4,6,"J"
"290",6,9,8,8,8,8,7,3,5,7,8,8,6,8,4,5,"A"
"291",5,12,5,6,4,8,7,3,6,10,5,7,5,8,7,6,"D"
"292",4,8,6,6,4,8,8,8,6,7,6,8,4,7,4,8,"C"
"293",3,4,4,3,1,4,12,3,3,10,11,7,2,11,1,8,"V"
"294",4,7,4,5,2,9,10,6,9,5,6,6,0,7,8,9,"S"
"295",4,9,6,6,4,9,8,1,6,13,5,5,1,10,2,9,"F"
"296",5,10,7,8,5,8,3,3,1,7,1,8,5,9,5,8,"A"
"297",3,2,4,3,3,8,7,5,6,7,6,6,2,8,6,9,"B"
"298",2,3,3,2,2,7,9,5,4,7,6,7,5,9,2,7,"N"
"299",6,10,5,6,3,6,6,4,4,6,7,8,5,5,2,8,"U"
"300",4,10,5,8,5,7,7,5,8,5,6,8,0,8,9,8,"S"
"301",2,5,3,6,3,8,8,7,2,5,7,10,3,9,5,9,"Q"
"302",4,8,4,5,1,1,13,5,5,12,11,7,0,8,2,6,"F"
"303",4,9,6,6,5,5,10,4,6,10,10,6,2,10,3,6,"F"
"304",5,10,8,8,4,8,7,4,10,6,6,8,4,6,8,9,"X"
"305",3,7,5,5,3,11,3,2,2,8,2,9,3,4,2,8,"A"
"306",4,9,4,6,3,6,7,9,7,7,6,7,2,8,9,10,"B"
"307",5,9,6,7,5,7,7,8,7,7,6,7,2,8,3,8,"O"
"308",2,6,3,4,1,14,1,6,5,14,2,11,0,7,0,8,"J"
"309",4,8,5,5,2,7,5,15,1,7,9,8,3,8,0,8,"H"
"310",6,9,7,4,3,6,9,5,5,4,4,10,8,7,2,8,"M"
"311",3,7,4,5,2,7,7,0,7,13,6,8,0,8,1,7,"I"
"312",6,10,6,8,6,2,10,2,3,10,9,8,7,11,2,6,"W"
"313",3,6,4,4,3,6,7,8,5,7,5,7,3,7,3,8,"N"
"314",1,3,2,2,1,10,3,2,1,9,2,9,1,6,1,8,"A"
"315",2,3,4,1,1,7,8,2,6,10,5,7,1,8,4,8,"S"
"316",1,0,1,0,0,5,10,6,1,9,6,5,0,9,2,8,"P"
"317",6,9,8,8,8,7,6,5,7,7,5,9,6,5,9,4,"D"
"318",7,9,10,7,6,5,6,4,5,11,10,11,11,5,4,8,"M"
"319",4,8,5,6,5,8,11,3,6,6,11,8,3,12,1,7,"T"
"320",3,6,4,4,2,5,5,1,9,6,2,11,0,8,3,7,"L"
"321",3,6,4,4,1,7,7,4,4,7,6,8,3,8,4,8,"X"
"322",2,4,3,6,2,7,7,8,6,5,7,9,2,7,5,11,"G"
"323",6,10,8,8,5,10,5,4,8,11,3,7,4,6,4,9,"D"
"324",3,4,4,6,2,3,8,6,10,7,6,14,0,8,7,7,"E"
"325",2,3,2,1,1,6,9,6,3,8,7,8,4,9,1,7,"N"
"326",2,4,3,3,2,6,6,6,5,6,6,9,2,8,4,8,"G"
"327",7,10,6,8,3,2,11,5,5,12,12,8,2,10,1,8,"V"
"328",2,7,4,4,2,7,3,3,2,7,2,8,3,7,2,8,"A"
"329",5,9,4,4,2,8,7,4,4,10,5,10,3,8,7,10,"E"
"330",4,5,5,8,2,3,6,7,3,7,8,12,3,8,3,10,"K"
"331",6,9,9,6,6,5,7,3,5,10,10,9,8,6,3,8,"M"
"332",5,11,5,6,3,7,5,3,5,12,7,11,3,8,6,9,"L"
"333",5,6,5,4,2,5,12,3,8,12,9,4,1,11,2,4,"T"
"334",2,4,4,3,2,7,6,6,6,6,6,10,2,9,4,9,"G"
"335",2,4,4,3,1,8,8,2,7,15,5,8,0,7,1,8,"J"
"336",5,10,5,7,2,1,14,5,4,12,10,6,0,8,2,5,"F"
"337",7,8,7,6,6,6,11,5,2,9,6,6,8,13,4,4,"W"
"338",3,6,5,4,3,12,3,2,2,9,2,9,2,6,2,8,"A"
"339",6,11,8,8,5,9,5,1,7,10,3,9,5,9,5,11,"K"
"340",1,1,2,2,1,5,10,4,4,10,8,4,1,9,3,7,"P"
"341",7,6,9,5,9,7,7,5,4,6,5,8,10,8,5,5,"M"
"342",2,6,3,4,2,8,7,7,5,7,6,9,2,8,3,8,"O"
"343",4,11,5,8,3,6,6,6,9,4,6,9,0,9,9,8,"S"
"344",4,6,6,5,5,4,7,3,6,6,6,10,4,10,7,7,"C"
"345",1,0,2,1,0,8,7,6,4,7,6,8,2,8,3,8,"O"
"346",2,1,3,2,1,7,7,5,9,6,6,9,1,8,7,8,"Z"
"347",4,9,6,7,6,9,7,3,6,7,4,5,6,6,9,8,"X"
"348",4,4,5,3,3,6,11,5,2,8,7,6,6,11,2,6,"W"
"349",4,9,4,6,5,6,6,8,6,6,6,7,2,8,7,9,"B"
"350",6,11,6,8,4,4,8,5,6,12,10,11,2,10,3,7,"C"
"351",2,4,3,3,2,5,10,3,5,10,9,5,1,10,3,6,"F"
"352",1,4,0,6,0,7,7,4,4,7,6,8,0,8,0,8,"I"
"353",1,3,2,2,1,8,7,3,5,10,5,7,2,8,3,9,"B"
"354",3,4,5,2,2,8,9,3,5,13,4,3,1,10,3,8,"P"
"355",11,14,10,8,4,6,8,3,7,9,8,10,6,8,4,6,"K"
